"Etablissement";"Siren";"Site";"Site non-trouve";"Categories";"Categorie-2";"Categorie-3";"Categorie-4";"Categorie-5";"Categorie-6";"Categorie-7";"Categorie-8";"Entreprise-de-servicesde-logistique";"Aucune-categorie"
"JOVIPACK";819734682;"https://jovipack.com/";;3923;;;;;;;;;
"JULBO";645950197;"https://www.julbo.com/fr_wo/";;9003;9004;;;;;;;;
"JURA-TERROIR";493366926;"https://www.terroir-juraregion.ch/";;406;1905;207;1602;2007;2208;;;;
"JURAMONTS COMTE";778412296;"https://www.comte-juramonts.com";;405;406;2204;409;2007;;;;;
"KNAUF ISBA";341545002;"https://industrie.usinenouvelle.com/fiche/etablissement/knauf-isba-49029054";;2223;;;;;;;;;
"KNAUF FIBRE";675650337;"https://www.knauf.fr/actualites/knauf-fibre-inaugure-ses-nouveaux-locaux";;6812;;;;;;;;;
"KODAK";542097530;"https://www.kodak.com/";;8443;3215;;;;;;;;
"KOHLER FRANCE";330339144;"https://www.kohlercompany.com";;3922;6910;;;;;;;;
"KRITER BRUT DE BRUT";343484879;"https://www.kriter.com/";;2204;;;;;;;;;
"KUBA";383693975;"https://www.kubapay.com/fr/";;;;;;;;;;1;
"COMMISSARIAT A L' ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES";775685019;"https://www.cea.fr/";;;;;;;;;;1;
"LA COMPAGNIE DUMAS";778115246;"https://lacompagniedumas.com/";;6306;9404;;;;;;;;
"LA FOURNEE DOREE BOURGOGNE";344572417;"https://www.lafourneedoree.fr/";;1905;;;;;;;;;
"LA COMPAGNIE DUMAS";778115246;"https://lacompagniedumas.com";;9404;;;;;;;;;
"AGROBIOTHERS LABORATOIRE";303229504;"https://agrobiothers.com/";;2309;;;;;;;;;
"LACROIX EMBALLAGES";646650234;"https://www.groupe-lacroix.com/";;4819;;;;;;;;;
"LACROIX EMBALLAGES";646650234;"https://www.groupe-lacroix.com";;4415;;;;;;;;;
"LAGUILLAUMIE";426520060;;1;;;;;;;;;;
"LAITERIE DE BRESSE";383278355;"https://www.labressane.fr/";;406;;;;;;;;;
"CENTRALE LAITIERE DE FRANCHE COMTE";536820236;;1;;;;;;;;;;
"CENTRALE LAITIERE DE FRANCHE COMTE";536820236;"https://industrie.usinenouvelle.com/fiche/etablissement/centrale-laitiere-de-franche-comte-83740589";;405;;;;;;;;;
"DEVILLERS LANDRESSE";342907581;"https://www.devillerslandresse.com/";;8515;8207;8463;;;;;;;
"DALLOZ INDUSTRIE LAPIDAIRE";323277418;"https://industrie.usinenouvelle.com/fiche/etablissement/dalloz-industrie-lapidaire-46941704";;3212;;;;;;;;;
"DALLOZ INDUSTRIE LAPIDAIRE";323277418;"https://industrie.usinenouvelle.com/fiche/etablissement/dalloz-industrie-lapidaire-46941704";;7113;;;;;;;;;
"CAVES BAILLY LAPIERRE";778681122;"http://www.bailly-lapierre.fr";;2204;;;;;;;;;
"CYCLES LAPIERRE";16650996;;1;;;;;;;;;;
"LBL BRENTA";391835394;"https://www.brenta.fr/";;4403;;;;;;;;;
"LDC BOURGOGNE";310391503;"https://www.ldc.fr";;209;;;;;;;;;
"LE BORVO";317761864;"https://www.leborvo.fr";;306;;;;;;;;;
"LEBHAR";705480200;"http://www.lebhar.com/";;4819;;;;;;;;;
"LEJAY LAGOUTE";15650039;"http://www.lejay-cassis.com/";;3302;;;;;;;;;
