'dep_epci';'siren_epci';'nom_complet';'nj_epci2021';'fisc_epci2021';'nb_com_2021';'ptot_epci_2021';'pmun_epci_2021'
'22';200065928;'CA Lannion-Trégor Communauté';'CA';'FPU';57;103329;99520
'22';200067460;'CC Loudéac Communauté - Bretagne Centre';'CC';'FPU';41;52766;51230
'22';200067981;'CA Guingamp-Paimpol Agglomération de l''Armor à l''Argoat';'CA';'FPU';57;75871;73464
'22';200068989;'CA Dinan Agglomération';'CA';'FPU';64;100240;97589
'22';200069086;'CC Leff Armor Communauté';'CC';'FPU';27;31882;31277
'22';200069391;'CA Lamballe Terre et Mer';'CA';'FPU';38;69404;67695
'22';200069409;'CA Saint-Brieuc Armor Agglomération';'CA';'FPU';32;156540;151937
'22';242200715;'CC du Kreiz-Breizh (CCKB)';'CC';'FPU';23;19130;18327
'23';200034825;'CA du Grand Guéret';'CA';'FPU';25;29785;28734
'23';200041556;'CC Portes de la Creuse en Marche';'CC';'FPU';16;6743;6635
'23';200044014;'CC Creuse Grand Sud';'CC';'FPU';26;12415;11915
'23';200067189;'CC Creuse Sud Ouest';'CC';'FPU';43;14210;13563
'23';200067544;'CC Creuse Confluence';'CC';'FPU';42;16853;16589
'23';200067593;'CC Marche et Combraille en Aquitaine';'CC';'FPU';50;13703;13476
'23';242300135;'CC du Pays Sostranien';'CC';'FPU';10;11020;10654
'23';242320000;'CC de Bénévent Grand Bourg';'CC';'FPU';16;7074;6924
'23';242320109;'CC du Pays Dunois';'CC';'FPU';17;7185;7014
'24';200027217;'CC Sarlat-Périgord Noir';'CC';'FPU';13;16588;16023
'24';200034197;'CC de Montaigne Montravel et Gurson';'CC';'FA';18;12218;12020
'24';200034833;'CC des Bastides Dordogne-Périgord';'CC';'FPU';47;19072;18694
'24';200040095;'CC Isle Vern Salembre en Périgord';'CC';'FPU';16;19219;18927
'24';200040384;'CC Isle Double Landais';'CC';'FPU';9;12252;12106
'24';200040392;'CA Le Grand Périgueux';'CA';'FPU';43;107128;103757
'24';200040400;'CC du Périgord Ribéracois';'CC';'FPU';44;20133;19607
'24';200040830;'CC du Pays de Fénelon';'CC';'FPU';19;9892;9630
'24';200040889;'CC de Portes Sud Périgord';'CC';'FA';25;8550;8416
'24';200041051;'CC Vallée de la Dordogne et Forêt Bessède';'CC';'FA';20;9232;9030
'24';200041150;'CC du Terrassonnais en Périgord Noir Thenon Hautefort';'CC';'FPU';37;22788;22357
'24';200041168;'CC de la Vallée de l''Homme';'CC';'FPU';26;16000;15629
'24';200041440;'CC de Domme- Villefranche du Périgord';'CC';'FPU';23;8777;8561
'24';200041572;'CC Dronne et Belle';'CC';'FPU';16;11449;11253
'24';200069094;'CC Isle et Crempse en Périgord';'CC';'FPU';25;14625;14366
'24';200070647;'CA Bergeracoise';'CA';'FPU';38;62293;60581
'24';200071819;'CC du Périgord Nontronnais';'CC';'FPU';28;15461;15143
'24';242400752;'CC Périgord-Limousin';'CC';'FPU';22;14555;14154
'24';242400935;'CC du Pays de Saint Aulaye';'CC';'FA';6;6773;6665
'24';242401024;'CC Isle-Loue-Auvézère en Périgord';'CC';'FPU';28;13993;13680
'25';200023075;'CC du Pays de Maîche';'CC';'FPU';43;19040;18604
'25';200065647;'CA Pays de Montbéliard Agglomération';'CA';'FPU';72;142754;140002
'25';200068070;'CC Loue-Lison';'CC';'FPU';74;25930;25335
'25';200068294;'CC des Deux Vallées Vertes';'CC';'FPU';54;16339;15958
'25';200069565;'CC des Lacs et Montagnes du Haut-Doubs';'CC';'FA';32;16526;16099
'25';242500320;'CC de Montbenoit';'CC';'FA';16;8007;7833
'25';242500338;'CC du Grand Pontarlier';'CC';'FPU';10;28625;27449
'25';242500361;'CU Grand Besançon Métropole';'CU';'FPU';68;199349;194382
'25';242504116;'CC du Val de Morteau';'CC';'FPU';8;21497;20756
'25';242504181;'CC des Portes du Haut-Doubs';'CC';'FPU';47;26818;26166
'25';242504355;'CC du Plateau de Russey';'CC';'FPU';17;6963;6688
'25';242504371;'CC du Pays de Sancey-Belleherbe';'CC';'FPU';27;5632;5515
'25';242504447;'CC du Doubs Baumois';'CC';'FPU';58;16401;15991
'25';242504488;'CC Altitude 800';'CC';'FPU';11;6749;6390
'25';242504496;'CC du Plateau de Frasne et du Val de Drugeon (CFD)';'CC';'FPU';10;6172;6040
'26';200040459;'CA Montélimar Agglomération';'CA';'FPU';27;68883;66944
'26';200040491;'CC Porte de Dromardèche';'CC';'FPU';35;48792;47239
'26';200040509;'CC du Crestois et de Pays de Saillans Coeur de Drôme';'CC';'FPU';15;16070;15673
'26';200042901;'CC Drôme Sud Provence';'CC';'FA';14;43590;42442
'26';200067767;'CC du Royans-Vercors';'CC';'FPU';18;9945;9600
'26';200068229;'CC des Baronnies en Drôme Provençale';'CC';'FA';67;21673;21127
'26';200068781;'CA Valence Romans Agglo';'CA';'FPU';54;228472;223349
'26';242600252;'CC du Val de Drôme en Biovallée';'CC';'FPU';29;30960;30313
'26';242600492;'CC Dieulefit-Bourdeaux';'CC';'FPU';21;9776;9461
'26';242600534;'CC du Diois';'CC';'FPU';50;12079;11688
'27';200065787;'CC de Pont-Audemer / Val de Risle';'CC';'FPU';32;33791;32961
'27';200066017;'CC Lieuvin Pays d''Auge';'CC';'FA';51;20801;20493
'27';200066405;'CC Roumois Seine';'CC';'FPU';40;41480;40774
'27';200066413;'CC Intercom Bernay Terres de Normandie';'CC';'FPU';75;56434;55048
'27';200066462;'CC Interco Normandie Sud Eure';'CC';'FPU';41;39764;38516
'27';200070142;'CC Lyons Andelle';'CC';'FPU';30;21078;20778
'27';200071454;'CA Evreux Portes de Normandie';'CA';'FPU';74;112679;110023
'27';200071843;'CC du Vexin Normand';'CC';'FPU';39;32838;32298
'27';200072312;'CA Seine Normandie Agglomération';'CA';'FPU';61;84683;82564
'27';200089456;'CA Seine-Eure';'CA';'FPU';60;105353;103330
'27';242700276;'CC du Pays de Conches';'CC';'FA';25;18972;18595
'27';242700607;'CC du Pays du Neubourg';'CC';'FA';41;23050;22495
'28';200006971;'CC du Perche';'CC';'FPU';20;19002;18261
'28';200033181;'CA Chartres Métropole';'CA';'FPU';66;139891;136243
'28';200040277;'CA Agglo du Pays de Dreux';'CA';'FPU';81;116924;114862
'28';200058360;'CC entre Beauce et Perche';'CC';'FPU';33;21944;21199
'28';200069912;'CC des Forêts du Perche';'CC';'FPU';15;7976;7837
'28';200069953;'CC des Portes Euréliennes d''Ile de France';'CC';'FPU';39;49496;48574
'28';200069961;'CC du Grand Châteaudun';'CC';'FPU';23;41497;40452
'28';200070159;'CC Coeur de Beauce';'CC';'FPU';48;24959;24522
'28';200070167;'CC Terres de Perche';'CC';'FPU';22;14628;14261
'28';242852465;'CC du Bonnevalais';'CC';'FPU';19;12699;12367
'29';200066868;'CC Presqu''île de Crozon-Aulne maritime';'CC';'FPU';10;23277;22616
'29';200067072;'CC Haut-Léon Communauté';'CC';'FPU';14;32547;31610
'29';200067197;'CC Monts d''Arrée Communauté';'CC';'FPU';12;7934;7652
'29';200067247;'CC Pleyben-Châteaulin-Porzay';'CC';'FPU';17;23976;22927
'29';200068120;'CA Quimper Bretagne Occidentale';'CA';'FPU';14;104002;100620
'29';242900074;'CC du Pays d''Iroise';'CC';'FPU';19;49512;48396
'29';242900314;'Brest Métropole';'METRO';'FPU';8;214290;210047
'29';242900553;'CC du Pays des Abers';'CC';'FPU';13;42097;41207
'29';242900561;'CC de Haute Cornouaille';'CC';'FPU';11;15215;14890
'29';242900629;'CC Cap Sizun - Pointe du Raz';'CC';'FPU';10;15684;15333
'29';242900645;'CC Douarnenez Communauté';'CC';'FPU';5;18776;18245
'29';242900660;'CC du Pays Fouesnantais';'CC';'FPU';7;29080;28102
'29';242900694;'CA Quimperlé Communauté';'CA';'FPU';16;57291;55831
'29';242900702;'CC du Pays Bigouden Sud';'CC';'FPU';12;38497;37372
'29';242900710;'CC du Haut Pays Bigouden';'CC';'FPU';10;18675;18210
'29';242900744;'CC Poher Communauté';'CC';'FPU';11;16186;15394
'29';242900751;'CC du Pays de Landivisiau';'CC';'FPU';19;33924;33053
'29';242900769;'CA Concarneau Cornouaille Agglomération';'CA';'FPU';9;52207;50575
'29';242900793;'CC Communauté Lesneven Côte des Légendes';'CC';'FPU';14;28147;27444
'29';242900801;'CC du Pays de Landerneau-Daoulas';'CC';'FPU';22;50108;48743
'29';242900835;'CA Morlaix Communauté';'CA';'FPU';26;66532;64438
'30';200034379;'CC Pays d''Uzès';'CC';'FPU';33;29266;28454
'30';200034411;'CC du Piémont Cévenol';'CC';'FPU';34;22313;21879
'30';200034601;'CC Causses Aigoual Cévennes';'CC';'FA';15;5514;5396
'30';200034692;'CA du Gard Rhodanien';'CA';'FPU';44;76009;74411
'30';200035129;'CC de Cèze Cévennes';'CC';'FPU';23;19457;19164
'30';200066918;'CA Alès Agglomération';'CA';'FPU';72;132469;129931
'30';243000270;'CC du Pays Viganais';'CC';'FPU';21;10291;10014
