'dept';'siren';'raison_sociale';'nature_juridique';'mode_financ';'nb_membres';'total_pop_tot';'total_pop_mun';'dep_com';'insee';'siren_membre';'nom_membre';'ptot_2021';'pmun_2021'
'01';200042935;'CA Haut - Bugey Agglomération';'CA';'FPU';42;64922;63099;'01';'01293';210102935;'Peyriat';156;152
'01';200042935;'CA Haut - Bugey Agglomération';'CA';'FPU';42;64922;63099;'01';'01101';210101010;'Chevillard';158;151
'01';200042935;'CA Haut - Bugey Agglomération';'CA';'FPU';42;64922;63099;'01';'01155';210101556;'Évosges';148;144
'01';200042935;'CA Haut - Bugey Agglomération';'CA';'FPU';42;64922;63099;'01';'01121';210101218;'Corlier';117;116
'01';200042935;'CA Haut - Bugey Agglomération';'CA';'FPU';42;64922;63099;'01';'01051';210100517;'Bolozon';92;91
'01';200042935;'CA Haut - Bugey Agglomération';'CA';'FPU';42;64922;63099;'01';'01311';210103115;'Prémillieu';44;44
'01';200069193;'CC de la Dombes';'CC';'FPU';36;40014;39080;'01';'01443';210104436;'Villars-les-Dombes';5057;4962
'01';200069193;'CC de la Dombes';'CC';'FPU';36;40014;39080;'01';'01093';210100939;'Châtillon-sur-Chalaronne';5083;4881
'01';200069193;'CC de la Dombes';'CC';'FPU';36;40014;39080;'01';'01333';210103339;'Saint-André-de-Corcy';3446;3386
'01';200069193;'CC de la Dombes';'CC';'FPU';36;40014;39080;'01';'01074';210100749;'Chalamont';2564;2529
'01';200069193;'CC de la Dombes';'CC';'FPU';36;40014;39080;'01';'01248';210102489;'Mionnay';2201;2148
'01';200069193;'CC de la Dombes';'CC';'FPU';36;40014;39080;'01';'01389';210103891;'Saint-Trivier-sur-Moignans';1886;1843
'01';200069193;'CC de la Dombes';'CC';'FPU';36;40014;39080;'01';'01092';210100921;'Châtillon-la-Palud';1657;1594
'01';200069193;'CC de la Dombes';'CC';'FPU';36;40014;39080;'01';'01383';210103834;'Saint-Paul-de-Varax';1576;1555
'01';200069193;'CC de la Dombes';'CC';'FPU';36;40014;39080;'01';'01272';210102729;'Neuville-les-Dames';1530;1510
'01';200069193;'CC de la Dombes';'CC';'FPU';36;40014;39080;'01';'01371';210103719;'Saint-Marcel';1288;1258
'01';200069193;'CC de la Dombes';'CC';'FPU';36;40014;39080;'01';'01235';210102356;'Marlieux';1225;1139
'01';200069193;'CC de la Dombes';'CC';'FPU';36;40014;39080;'01';'01381';210103818;'Saint-Nizier-le-Désert';935;917
'01';200069193;'CC de la Dombes';'CC';'FPU';36;40014;39080;'01';'01083';210100830;'Chaneins';929;912
'01';200069193;'CC de la Dombes';'CC';'FPU';36;40014;39080;'01';'01113';210101135;'Condeissiat';832;820
